Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Vinblastine","1004","CAL-120","906826","BRCA","breast","breast","-1.6822041069915818",".8306373535240581",".10000000000000001",".15968793634427114",".83179161160879567","GDSC2"
"Vinblastine","1004","DU-4475","906844","BRCA","breast","breast","-3.7286665376175194",".7763537096966282",".10000000000000001",".071462397810916567","-.10792340930735658","GDSC2"
"Vinblastine","1004","EFM-19","906851","BRCA","breast","breast","-4.0289031392373316",".69647221615570798",".10000000000000001",".13301521298521421","-.24578904522067307","GDSC2"
"Vinblastine","1004","EVSA-T","906862","BRCA","breast","breast","-2.5791063010699022",".878912024945668",".10000000000000001",".14376940605349314",".41994312054694888","GDSC2"
"Vinblastine","1004","HCC1419","907045","BRCA","breast","breast","-.81915935683619723",".9580594163361803",".10000000000000001",".16930344968877045","1.2280931040313967","GDSC2"
"Vinblastine","1004","HCC70","907048","BRCA","breast","breast","-2.4807844789417919",".86879012822541057",".10000000000000001",".24242633186803741",".4650915150422103","GDSC2"
"Vinblastine","1004","MDA-MB-175-VII","908120","BRCA","breast","breast","-2.6147302816776787",".77022616909257025",".10000000000000001",".11759623240441128",".40358494598143091","GDSC2"
"Vinblastine","1004","MDA-MB-361","908121","BRCA","breast","breast","-5.9160182532753023",".47930634123601012",".10000000000000001",".18911167896023356","-1.1123333767073624","GDSC2"
"Vinblastine","1004","MDA-MB-453","908122","BRCA","breast","breast","-3.6906984883375062",".74260375620976815",".10000000000000001",".13952318864683488","-.090488861919941238","GDSC2"
"Vinblastine","1004","MDA-MB-468","908123","BRCA","breast","breast","-4.3224473781890929",".67215270119889103",".10000000000000001",".12624915472530468","-.38058161532517221","GDSC2"
"Vinblastine","1004","MRK-nu-1","908151","BRCA","breast","breast","-5.7512905205180287",".50067772300847424",".10000000000000001",".11708460261871617","-1.0366920541417071","GDSC2"
"Vinblastine","1004","OCUB-M","909256","BRCA","breast","breast","-4.6699523044012237",".642474280245656",".10000000000000001",".085009212684525437","-.54015239176205854","GDSC2"
